Online boarding,Type of Travel,Inflight wifi service,Class,Customer Type,Inflight entertainment,Seat comfort,Checkin service,Cleanliness,Leg room service,Departure/Arrival time convenient,Ease of Online booking,Gate location,On-board service,Food and drink,Inflight service,Baggage handling,Departure Delay in Minutes,satisfaction
3,1,3,2,0,5,5,4,5,3,4,3,1,4,5,5,4,25,0
3,0,3,0,1,1,1,1,1,5,2,3,3,1,1,4,3,1,0
5,0,2,0,0,5,5,4,5,3,2,2,2,4,5,4,4,0,1
2,0,2,0,0,2,2,1,2,5,5,5,5,2,2,4,3,11,0
5,0,3,0,0,3,5,3,3,4,3,3,3,3,4,3,4,0,1
2,1,3,1,0,1,1,4,1,4,4,2,1,3,1,4,4,0,0
2,1,2,1,0,2,2,3,2,3,4,2,3,3,2,5,4,9,0
5,0,4,0,0,5,5,4,4,5,3,4,4,5,5,5,5,4,1
3,0,1,0,0,1,3,4,2,2,2,2,2,1,4,1,1,0,0
3,0,3,1,1,2,3,4,2,3,3,3,4,2,2,3,4,0,0
5,0,4,1,1,2,2,3,2,3,5,5,4,3,2,5,5,0,0
2,1,2,2,0,1,1,5,1,2,4,2,2,1,1,5,5,0,0
1,0,1,1,0,1,1,4,1,1,4,4,4,1,1,4,3,28,0
4,1,4,1,0,4,4,2,4,5,2,4,3,4,4,2,2,0,1
3,1,3,1,0,2,2,2,2,3,2,3,2,4,2,1,2,43,0
2,0,2,1,1,4,1,1,4,1,1,2,3,2,4,3,4,1,0
4,0,3,0,0,4,4,5,4,3,3,3,3,5,4,4,4,49,1
4,0,4,0,0,5,4,3,5,5,4,2,4,5,4,5,5,0,1
4,0,4,0,0,5,5,3,4,5,4,4,4,5,3,5,5,7,1
3,1,2,1,0,5,5,3,5,2,3,3,2,1,5,2,4,17,0
2,0,2,1,0,2,1,4,2,5,4,2,4,1,2,3,3,0,0
3,1,3,1,0,5,5,3,5,5,1,3,3,2,5,4,3,0,0
4,1,3,1,0,3,5,3,4,3,5,3,5,3,5,3,5,52,0
3,1,4,1,0,4,4,2,2,4,5,4,5,4,4,4,4,0,0
5,0,5,1,1,1,1,3,1,5,0,5,1,4,1,5,5,54,1
4,1,4,1,0,5,5,4,5,2,4,4,1,3,5,5,4,27,0
5,0,1,0,0,4,3,5,2,4,1,1,1,4,1,4,3,0,1
2,0,4,2,0,4,1,2,2,4,4,4,4,4,2,4,4,0,1
2,0,3,0,0,3,1,2,2,3,1,1,1,3,1,3,3,18,0
3,1,3,1,0,3,1,4,3,4,2,3,3,2,3,2,3,19,0
5,0,4,0,0,5,5,1,5,4,4,4,4,5,5,5,3,0,1
2,0,2,1,1,5,5,2,5,1,2,2,3,3,5,4,4,3,0
4,0,4,0,0,3,4,4,4,4,5,4,4,3,4,3,5,109,1
4,1,4,1,0,5,5,5,5,4,5,4,1,5,2,5,3,18,0
3,0,3,0,1,1,1,1,1,1,3,3,4,4,1,4,3,9,0
1,0,1,1,0,1,1,3,1,5,4,4,4,3,1,3,3,0,0
4,0,3,0,1,5,2,4,5,4,4,4,3,5,5,5,5,0,0
4,1,4,2,0,2,2,3,2,1,3,4,2,5,2,4,4,23,0
4,1,4,1,0,4,5,4,4,4,4,4,3,4,2,4,4,23,1
1,0,1,0,1,1,1,4,1,3,1,1,2,3,1,4,4,0,0
5,0,4,0,0,4,5,4,3,4,4,4,4,4,3,4,4,0,1
3,0,3,0,1,3,3,5,3,4,5,3,4,4,3,5,5,9,0
5,0,0,0,0,4,3,4,3,4,0,0,3,4,2,4,4,0,1
1,0,3,0,0,5,4,2,4,5,3,3,3,5,2,5,5,0,1
5,0,1,0,0,3,5,4,5,3,1,1,1,3,3,3,3,1,1
5,0,1,0,0,5,5,5,5,2,1,1,1,4,5,4,5,4,1
2,1,2,0,0,4,4,4,4,5,4,2,1,4,4,5,4,0,0
1,0,1,0,0,1,1,1,1,5,1,1,1,3,1,4,3,0,0
2,0,3,0,0,5,3,4,3,5,3,3,3,5,5,5,5,8,1
2,1,2,1,0,5,5,1,5,3,2,2,3,2,5,3,3,0,0
2,0,2,1,0,2,2,3,2,3,1,1,1,3,2,3,2,14,0
4,0,3,0,0,4,4,4,4,4,3,3,3,3,4,5,4,0,1
2,0,5,1,0,5,3,4,2,5,5,5,5,5,1,5,5,0,1
2,1,2,1,0,4,4,4,4,4,3,2,4,4,4,1,3,1,0
3,1,2,1,0,4,4,4,4,2,2,2,3,4,1,4,4,10,0
5,0,2,0,0,4,5,3,5,4,4,2,2,4,4,4,4,51,1
4,0,0,0,0,5,5,4,5,5,0,0,1,5,3,5,5,0,1
5,0,5,0,0,5,5,3,4,5,5,5,5,5,2,5,5,0,1
3,0,3,0,1,4,4,2,4,1,3,3,3,1,4,3,4,39,0
2,0,2,1,1,4,4,5,4,2,4,2,1,4,4,5,4,4,0
2,0,2,0,1,3,3,2,3,1,2,2,3,2,3,4,4,0,0
4,0,2,0,0,4,4,4,3,4,2,2,2,4,4,4,4,0,1
2,0,2,1,1,4,3,2,4,4,1,2,2,4,4,2,3,13,0
4,0,3,0,0,5,4,4,4,5,3,3,3,5,5,5,5,0,1
4,0,5,0,0,4,4,3,4,4,5,5,5,4,2,4,4,30,1
5,0,3,0,0,4,4,4,4,4,3,3,3,5,4,4,4,4,1
2,1,2,1,0,4,4,4,4,2,4,2,3,3,4,5,4,0,0
4,0,2,0,0,5,5,5,4,5,2,2,2,5,2,5,5,0,1
2,0,2,1,0,2,2,2,2,2,1,1,1,3,2,3,2,18,0
4,0,4,2,0,4,4,1,4,3,4,4,4,3,4,4,1,0,1
4,0,4,0,0,5,5,4,5,5,4,4,4,5,3,5,5,0,1
3,0,3,2,0,3,3,1,3,5,2,2,2,2,3,2,1,64,0
2,0,2,0,1,5,5,5,5,4,2,2,4,5,5,5,4,0,0
1,1,1,2,0,2,2,5,2,4,4,1,2,4,2,5,5,0,0
3,1,3,1,0,1,1,3,1,4,5,3,2,4,1,4,5,0,0
5,0,5,0,1,1,1,4,1,2,1,5,4,4,1,5,5,1,1
4,0,2,0,0,2,3,1,4,2,4,4,4,2,1,2,2,0,0
4,1,4,1,0,2,2,4,2,5,5,4,2,4,2,4,3,20,1
4,0,4,1,1,4,4,4,4,2,0,4,4,5,4,4,1,0,0
2,0,2,0,1,3,4,4,3,5,1,1,2,3,3,5,3,0,0
4,0,1,0,0,4,4,4,4,2,1,1,1,4,4,4,5,45,1
4,0,4,1,1,3,3,3,3,3,4,4,3,2,3,3,2,0,0
3,0,3,0,1,5,5,2,5,2,3,3,4,3,5,4,4,0,0
4,0,4,0,1,1,1,4,1,4,0,4,4,3,1,5,4,0,1
5,0,2,0,0,4,5,5,4,4,2,2,2,4,3,4,4,44,1
4,0,4,2,0,4,4,4,4,2,4,4,4,1,4,2,2,17,1
4,1,3,2,0,5,5,4,5,3,5,3,2,5,3,5,5,0,0
3,1,3,1,0,5,2,3,5,4,5,3,4,4,5,5,5,0,0
1,0,3,0,0,4,3,3,1,4,3,3,3,4,1,4,4,0,1
2,0,2,1,1,3,3,1,3,1,2,2,3,3,3,4,3,0,0
0,1,0,1,0,4,3,4,4,5,5,0,3,4,4,5,5,0,1
5,0,5,0,1,2,2,4,2,4,5,5,3,3,2,4,4,31,1
4,0,4,0,0,4,4,4,4,2,1,1,1,2,4,2,3,81,0
3,0,5,2,0,5,1,1,1,5,4,4,4,5,4,5,5,0,1
2,0,2,1,0,3,4,3,4,2,5,5,5,3,5,3,3,0,1
4,0,4,1,0,4,4,5,4,3,1,1,1,4,4,2,1,35,1
4,1,4,1,0,5,5,3,5,2,5,4,5,2,5,1,3,14,0
3,1,3,0,0,3,3,1,3,1,1,3,2,2,3,3,3,0,0
1,1,1,2,0,5,5,3,5,1,5,1,3,5,5,4,1,67,0
3,0,3,0,1,3,4,3,3,2,3,3,3,5,3,4,4,22,1
2,1,2,1,0,3,4,4,3,4,5,2,1,5,3,4,5,40,0
5,0,5,0,0,4,4,5,4,5,5,5,5,5,4,4,1,0,1
2,1,2,1,0,5,1,3,5,2,5,2,2,4,5,5,4,0,0
3,0,3,2,1,3,3,3,3,1,3,3,3,4,3,3,3,0,0
5,0,5,0,1,5,5,3,5,4,0,5,4,3,5,1,4,0,1
3,1,3,1,0,4,4,2,4,1,4,3,3,1,4,1,4,3,0
1,0,1,1,1,1,1,2,1,3,1,1,3,4,1,1,4,0,0
4,1,4,1,0,5,5,1,5,5,3,4,3,2,5,4,2,0,0
2,0,2,1,1,1,1,1,1,2,0,2,4,3,1,3,5,0,0
2,1,3,1,0,4,4,3,4,4,5,2,2,5,4,5,5,0,0
5,0,5,0,0,4,5,4,3,5,5,5,5,4,5,4,4,0,1
3,0,4,0,0,4,4,4,1,4,2,2,2,4,1,4,4,30,0
1,0,1,0,0,1,1,4,1,1,5,4,5,1,1,3,2,0,0
2,1,2,1,0,5,5,2,5,2,3,2,3,5,5,4,3,91,0
5,0,2,0,0,4,1,5,4,4,2,2,2,4,1,4,4,0,1
2,1,2,1,0,1,1,4,1,3,4,2,1,3,1,4,4,1,0
