Teenhome,Kidhome,Complain,NumCatalogPurchases,AcceptedCmp2,Marital_Status,Income,NumStorePurchases,MntWines,MntMeatProducts,MntGoldProds,MntFishProducts,MntFruits,NumDealsPurchases,AcceptedCmp5,MntSweetProducts,NumWebVisitsMonth,NumWebPurchases,Year_Birth,Year_Birth_KMeans_Clusters
0,0,0,10,0,4,58138.0,4,635,546,88,172,88,3,0,88,7,8,1957,0
1,1,0,1,0,4,46344.0,2,11,6,6,2,1,2,0,1,5,1,1954,1
0,0,0,2,0,5,71613.0,10,426,127,42,111,49,1,0,21,4,8,1965,0
0,1,0,0,0,5,26646.0,4,11,20,5,10,4,2,0,3,6,2,1984,1
0,1,0,3,0,3,58293.0,6,173,118,15,46,43,5,0,27,5,5,1981,0
1,0,0,4,0,5,62513.0,10,520,98,14,0,42,2,0,42,6,6,1967,0
1,0,0,3,0,2,55635.0,7,235,164,27,50,65,4,0,49,6,7,1971,0
0,1,0,0,0,3,33454.0,4,76,56,23,3,10,2,0,1,8,4,1985,1
0,1,0,0,0,5,30351.0,2,14,24,2,3,0,1,0,3,9,3,1974,1
1,1,0,0,0,5,5648.0,0,28,6,13,1,0,1,0,1,20,1,1950,1
0,1,0,0,0,3,1729.0,2,5,6,1,0,5,1,0,2,7,1,1983,1
0,0,0,0,0,3,7500.0,3,6,11,16,11,16,1,0,1,8,2,1976,1
0,0,0,4,0,2,63033.0,8,194,480,30,225,61,1,0,112,2,3,1959,0
1,1,0,1,0,2,59354.0,5,233,53,14,3,2,3,0,5,6,6,1952,0
0,0,0,0,0,3,17323.0,3,3,17,5,6,14,1,0,1,8,1,1987,1
0,0,0,6,0,4,82800.0,12,1006,115,45,59,22,1,1,68,3,7,1946,0
1,1,0,0,0,3,41850.0,3,53,19,4,2,5,3,0,13,8,3,1980,1
0,0,0,1,0,5,37760.0,6,84,38,28,150,5,2,0,12,7,4,1946,1
1,0,0,4,0,3,76995.0,9,1012,498,176,0,80,2,0,16,5,11,1949,0
0,1,0,1,0,4,33812.0,3,4,19,39,30,17,2,0,24,6,2,1985,1
0,0,0,2,0,3,37040.0,5,86,73,48,69,2,1,0,38,8,4,1982,1
0,1,0,28,0,3,2447.0,0,1,1725,1,1,1,15,0,1,1,0,1979,1
1,0,0,3,0,3,58607.0,9,867,86,19,0,0,3,0,0,8,2,1949,0
1,0,0,2,0,3,65324.0,9,384,102,5,21,0,3,0,32,4,6,1954,0
1,0,0,1,0,5,40689.0,5,270,27,99,39,3,7,0,6,8,7,1951,1
0,0,0,1,0,4,18589.0,3,6,25,13,15,4,2,0,12,7,2,1969,1
1,1,0,1,0,3,53359.0,4,173,30,41,3,4,4,0,6,7,5,1976,0
0,1,0,0,0,4,1729.0,0,5,3,362,3,1,0,0,263,1,27,1986,1
0,1,0,1,0,3,38360.0,4,36,42,10,20,2,2,0,21,3,2,1989,1
0,0,0,9,0,3,84618.0,10,684,801,0,21,100,1,1,66,2,6,1965,0
0,0,0,0,0,2,10979.0,3,8,10,4,2,4,2,0,2,5,3,1989,1
0,0,0,5,0,5,38620.0,3,112,44,89,34,17,1,0,22,3,2,1963,1
1,0,0,1,0,5,40548.0,4,110,5,3,2,0,2,0,0,5,2,1970,1
2,0,0,1,0,2,46610.0,6,96,96,43,33,12,6,0,22,6,4,1952,1
0,0,0,5,0,3,68657.0,9,482,471,22,119,34,1,0,68,7,3,1946,0
1,1,0,0,0,4,49389.0,3,40,19,3,2,0,1,0,1,7,2,1951,1
1,0,0,6,0,3,67353.0,12,702,151,35,0,17,5,0,8,2,5,1970,0
0,1,0,1,0,3,23718.0,2,6,14,36,15,3,3,0,7,7,3,1976,1
1,0,0,1,0,6,42429.0,3,55,6,4,2,0,2,0,0,5,1,1973,1
0,0,0,10,0,2,48948.0,5,437,206,42,160,8,2,0,49,6,7,1943,1
1,0,0,6,0,3,80011.0,5,421,536,102,82,76,2,0,178,4,8,1980,0
0,1,0,0,0,3,20559.0,3,13,29,7,3,1,2,0,0,8,2,1985,1
1,0,0,0,0,5,21994.0,3,9,6,3,3,0,1,0,1,5,0,1957,1
0,0,0,3,0,4,1729.0,4,81,50,39,3,11,1,0,2,2,1,1959,1
0,1,0,0,0,3,7500.0,3,3,10,12,3,1,3,0,2,5,2,1975,1
0,0,0,4,0,4,79941.0,9,123,266,174,227,164,1,0,30,1,2,1976,0
0,0,0,1,0,3,7500.0,3,3,14,50,15,18,3,0,22,9,3,1996,1
0,1,0,0,0,5,41728.0,2,13,15,13,3,6,1,0,5,10,2,1968,1
1,2,0,1,0,4,1729.0,4,48,48,7,6,5,3,0,10,6,2,1951,1
1,1,0,2,0,3,72550.0,12,826,317,38,50,50,9,0,38,8,5,1954,0
1,0,0,2,0,6,65486.0,10,245,125,14,37,19,1,0,67,2,4,1957,0
0,0,0,9,0,3,79143.0,13,650,780,32,27,37,1,0,167,3,6,1964,0
0,1,0,0,0,4,35790.0,3,12,20,3,30,6,2,0,1,7,2,1977,1
0,0,0,9,0,2,82582.0,7,510,550,241,156,120,1,0,40,1,4,1977,0
1,1,0,2,0,3,66373.0,10,328,124,109,12,9,7,0,24,3,4,1978,0
0,0,0,10,0,5,82384.0,13,984,432,190,180,51,1,1,120,1,3,1955,0
0,0,0,5,0,2,70287.0,10,295,482,40,121,35,1,0,120,3,5,1966,0
0,1,0,0,0,4,27938.0,4,13,8,5,2,0,1,0,1,3,1,1988,1
0,1,0,0,0,4,1729.0,3,11,22,6,2,3,2,0,2,6,2,1982,1
