OverallQual,GrLivArea,GarageArea,FireplaceQu,BsmtFinType2,TotalBsmtSF,GarageQual,LandSlope,TotRmsAbvGrd,2ndFlrSF,BsmtFinSF1,ExterQual,1stFlrSF,BsmtQual,YearRemodAdd,KitchenQual,GarageCond,YearBuilt,SaleType,LotFrontage,GarageYrBlt,YearRemodAdd_age_in_years,LotArea,BsmtFullBath,CentralAir,GarageCars,KitchenAbvGr,FullBath,Fireplaces,BsmtFinSF2,HeatingQC,MSSubClass,WoodDeckSF,OpenPorchSF,OverallCond,SaleCondition,FireplaceQu_Missing_Flag,BedroomAbvGr,MoSold,ScreenPorch,LowQualFinSF,HalfBath,BsmtUnfSF,EnclosedPorch,YrSold,MiscVal,YrSold_age_in_years,3SsnPorch,SalePrice
7,1710,548,-1,5,856,4,0,8,854,706,2,856,2,2003,2,4,2003,8,65.0,2003.0,19,8450,1,1,2,1,2,0,0,0,60,0,61,5,4,1,3,2,0,0,1,150,0,2008,0,14,0,208500
6,1262,460,4,5,1262,4,0,6,0,978,3,1262,2,1976,3,4,1976,8,80.0,1976.0,46,9600,0,1,2,1,2,1,0,0,20,298,0,8,4,0,3,5,0,0,0,284,0,2007,0,15,0,181500
7,1786,608,4,5,920,4,0,6,866,486,2,920,2,2002,2,4,2001,8,68.0,2001.0,20,11250,1,1,2,1,2,1,0,0,60,0,42,5,4,0,3,9,0,0,1,434,0,2008,0,14,0,223500
7,1717,642,2,5,756,4,0,7,756,216,3,961,3,1970,2,4,1915,8,60.0,1998.0,52,9550,1,1,3,1,1,1,0,2,70,0,35,5,0,0,3,2,0,0,0,540,272,2006,0,16,0,140000
8,2198,836,4,5,1145,4,0,9,1053,655,2,1145,2,2000,2,4,2000,8,84.0,2000.0,22,14260,1,1,3,1,2,1,0,0,60,192,84,5,4,0,4,12,0,0,1,490,0,2008,0,14,0,250000
5,1362,480,-1,5,796,4,0,5,566,732,3,796,2,1995,3,4,1993,8,85.0,1993.0,27,14115,1,1,2,1,1,0,0,0,50,40,30,5,4,1,1,10,0,0,1,64,0,2009,700,13,320,143000
8,1694,636,2,5,1686,4,0,7,0,1369,2,1694,0,2005,2,4,2004,8,75.0,2004.0,17,10084,1,1,2,1,2,1,0,0,20,255,57,5,4,0,3,8,0,0,0,317,0,2007,0,15,0,307000
7,2090,484,4,1,1107,4,0,7,983,859,3,1107,2,1973,3,4,1973,8,20.0,1973.0,49,10382,1,1,2,1,2,2,32,0,60,235,204,6,4,0,3,11,0,0,1,216,228,2009,350,13,0,200000
7,1774,468,4,5,952,1,0,8,752,0,3,1022,3,1950,3,4,1931,8,51.0,1931.0,72,6120,0,1,2,2,2,2,0,2,50,90,0,5,0,0,2,4,0,0,0,952,205,2008,0,14,0,129900
5,1077,205,4,5,991,2,0,5,0,851,3,1077,3,1950,3,4,1939,8,50.0,1939.0,72,7420,1,1,1,2,1,2,0,0,190,0,4,6,4,0,2,1,0,0,0,140,0,2008,0,14,0,118000
5,1040,384,-1,5,1040,4,0,5,0,906,3,1040,3,1965,3,4,1965,8,70.0,1965.0,57,11200,1,1,1,1,1,0,0,0,20,0,0,5,4,1,3,2,0,0,0,134,0,2008,0,14,0,129500
9,2324,736,2,5,1175,4,0,11,1142,998,0,1182,0,2006,0,4,2005,6,85.0,2005.0,16,11924,1,1,3,1,3,2,0,0,60,147,21,5,5,0,4,7,0,0,0,177,0,2006,0,16,0,345000
5,912,352,-1,5,912,4,0,4,0,737,3,912,3,1962,3,4,1962,8,20.0,1962.0,60,12968,1,1,1,1,1,0,0,4,20,140,0,6,4,1,2,9,176,0,0,175,0,2008,0,14,0,144000
7,1494,840,2,5,1494,4,0,7,0,0,2,1494,2,2007,2,4,2006,6,91.0,2006.0,15,10652,0,1,3,1,2,1,0,0,20,160,33,5,5,0,3,8,0,0,0,1494,0,2007,0,15,0,279500
6,1253,352,1,5,1253,4,0,5,0,733,3,1253,3,1960,3,4,1960,8,20.0,1960.0,62,10920,1,1,1,1,1,1,0,4,20,0,213,5,4,0,2,5,0,0,1,520,176,2008,0,14,0,157000
7,854,576,-1,5,832,4,0,5,0,0,3,854,3,2001,3,4,1929,8,51.0,1991.0,21,6120,0,1,2,1,1,0,0,0,45,48,112,8,4,1,2,7,0,0,0,832,0,2007,0,15,0,132000
6,1004,480,4,5,1004,4,0,5,0,578,3,1004,3,1970,3,4,1970,8,20.0,1970.0,52,11241,1,1,2,1,1,1,0,0,20,0,0,7,4,0,2,3,0,0,0,426,0,2010,700,12,0,149000
4,1296,516,-1,-1,0,4,0,6,0,0,3,1296,-1,1967,3,4,1967,8,72.0,1967.0,55,10791,0,1,2,2,2,0,0,4,90,0,0,5,4,1,2,10,0,0,0,0,0,2006,500,16,0,90000
5,1114,576,-1,5,1114,4,0,6,0,646,3,1114,3,2004,2,4,2004,8,66.0,2004.0,18,13695,1,1,2,1,1,0,0,0,20,0,102,5,4,1,3,6,0,0,1,468,0,2008,0,14,0,159000
5,1339,294,-1,5,1029,4,0,6,0,504,3,1339,3,1965,3,4,1958,0,70.0,1958.0,57,7560,0,1,1,1,1,0,0,4,20,0,0,6,0,1,3,5,0,0,0,525,0,2009,0,13,0,139000
8,2376,853,2,5,1158,4,0,9,1218,0,2,1158,0,2006,2,4,2005,6,101.0,2005.0,16,14215,0,1,3,1,3,1,0,0,60,240,154,5,5,0,4,11,0,0,1,1158,0,2006,0,16,0,325300
7,1108,280,2,5,637,4,0,6,0,0,3,1108,3,1950,2,4,1930,8,57.0,1930.0,72,7449,0,1,1,1,1,1,0,0,45,0,0,7,4,0,3,6,0,0,0,637,205,2007,0,15,0,139400
8,1795,534,2,5,1777,4,0,7,0,0,2,1795,2,2002,2,4,2002,8,75.0,2002.0,20,9742,0,1,2,1,2,1,0,0,20,171,159,5,4,0,3,9,0,0,0,1777,0,2008,0,14,0,230000
5,1060,572,4,5,1040,4,0,6,0,840,3,1060,2,1976,3,4,1976,8,44.0,1976.0,46,4224,1,1,2,1,1,1,0,4,120,100,110,7,4,0,3,6,0,0,0,200,0,2007,0,15,0,129900
5,1060,270,4,0,1060,4,0,6,0,188,3,1060,3,2001,2,4,1968,8,20.0,1968.0,21,8246,1,1,1,1,1,1,668,0,20,406,90,8,4,0,3,5,0,0,0,204,0,2010,0,12,0,154000
8,1600,890,2,5,1566,4,0,7,0,0,2,1600,2,2007,2,4,2007,8,110.0,2007.0,15,14230,0,1,3,1,2,1,0,0,20,0,56,5,4,0,3,7,0,0,0,1566,0,2009,0,13,0,256300
5,900,576,-1,4,900,4,0,5,0,234,3,900,3,2000,2,4,1951,8,60.0,2005.0,22,7200,0,1,2,1,1,0,486,4,20,222,32,7,4,1,3,5,0,0,0,180,0,2010,0,12,0,134800
8,1704,772,2,5,1704,4,0,7,0,1218,2,1704,0,2008,2,4,2007,8,98.0,2008.0,14,11478,1,1,3,1,2,1,0,0,20,0,50,5,4,0,3,5,0,0,0,486,0,2010,0,12,0,306000
5,1600,319,2,5,1484,4,0,6,0,1277,3,1600,3,1997,3,4,1957,8,47.0,1957.0,25,16321,1,1,1,1,1,2,0,4,20,288,258,6,4,0,2,12,0,0,0,207,0,2006,0,16,0,207500
4,520,240,-1,5,520,1,0,4,0,0,3,520,3,1950,1,4,1927,8,60.0,1920.0,72,6324,0,0,1,1,1,0,0,1,30,49,0,6,4,1,1,5,0,0,0,520,87,2008,0,14,0,68500
4,1317,250,-1,5,649,4,0,6,668,0,3,649,3,1950,3,1,1920,8,50.0,1920.0,72,8500,0,0,1,1,1,0,0,4,70,0,54,4,4,1,3,7,0,0,0,649,172,2008,0,14,0,40000
