,Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
1751,1751,30970,Female,Loyal Customer,16,Personal Travel,Business,1476,3,5,3,4,4,3,4,4,5,5,5,4,4,4,0,0.0,neutral or dissatisfied
95684,95684,19160,Male,Loyal Customer,34,Business travel,Business,304,1,2,2,2,5,3,3,1,1,1,1,3,1,2,0,0.0,neutral or dissatisfied
71802,71802,123994,Male,Loyal Customer,48,Business travel,Business,3760,5,5,5,5,5,5,5,5,5,5,4,3,5,4,0,4.0,satisfied
89601,89601,43984,Female,Loyal Customer,37,Business travel,Eco,397,5,2,2,2,5,5,5,5,2,4,1,4,4,5,5,14.0,satisfied
58769,58769,128170,Male,Loyal Customer,60,Business travel,Business,1788,5,5,5,5,2,5,5,4,4,4,4,5,4,5,0,0.0,satisfied
103066,103066,61301,Female,Loyal Customer,64,Personal Travel,Eco,862,5,2,5,4,5,3,3,1,1,2,1,2,1,3,0,0.0,satisfied
35560,35560,32206,Male,Loyal Customer,36,Business travel,Eco,163,5,5,5,5,5,5,5,5,4,1,5,2,4,5,0,0.0,satisfied
42519,42519,86252,Male,Loyal Customer,35,Personal Travel,Eco,226,2,4,2,5,5,2,5,5,3,3,4,4,4,5,0,4.0,neutral or dissatisfied
100365,100365,54565,Female,Loyal Customer,58,Business travel,Eco Plus,925,5,3,3,3,4,3,5,5,5,5,5,1,5,3,28,17.0,satisfied
66075,66075,7762,Female,Loyal Customer,44,Business travel,Business,2308,5,5,5,5,5,5,4,5,5,5,5,5,5,3,0,9.0,satisfied
42028,42028,31320,Male,Loyal Customer,17,Personal Travel,Eco,680,4,4,5,3,4,5,4,4,5,4,5,4,4,4,0,0.0,neutral or dissatisfied
12321,12321,114418,Female,Loyal Customer,49,Business travel,Business,372,3,3,2,3,5,5,5,5,5,5,5,5,5,4,1,0.0,satisfied
11162,11162,53272,Female,disloyal Customer,25,Business travel,Eco,921,5,5,5,2,5,5,5,5,4,4,4,2,3,5,8,13.0,satisfied
62857,62857,47100,Male,Loyal Customer,53,Personal Travel,Eco,438,2,2,2,3,3,2,3,3,3,4,2,1,3,3,0,0.0,neutral or dissatisfied
42492,42492,35750,Female,Loyal Customer,58,Personal Travel,Eco Plus,1826,4,4,4,1,3,4,4,3,3,4,3,4,3,5,11,8.0,neutral or dissatisfied
51414,51414,99913,Male,Loyal Customer,48,Business travel,Business,1028,5,5,5,5,3,4,4,5,5,5,5,2,5,4,0,0.0,satisfied
53765,53765,36204,Female,Loyal Customer,34,Business travel,Business,3934,4,4,4,4,3,5,4,5,5,5,5,3,5,2,0,0.0,satisfied
3047,3047,25065,Male,Loyal Customer,65,Personal Travel,Eco,594,3,3,3,4,5,3,5,5,4,4,3,1,4,5,32,29.0,neutral or dissatisfied
86016,86016,16284,Female,disloyal Customer,23,Personal Travel,Eco,748,3,4,3,2,2,3,2,2,5,1,5,2,2,2,21,0.0,neutral or dissatisfied
46856,46856,101393,Female,disloyal Customer,24,Business travel,Eco,486,2,1,1,4,5,1,5,5,2,2,4,1,4,5,9,0.0,neutral or dissatisfied
75868,75868,122085,Female,Loyal Customer,36,Personal Travel,Eco,130,4,4,4,3,4,4,4,4,3,3,3,4,4,4,2,0.0,satisfied
74430,74430,43173,Female,disloyal Customer,23,Business travel,Eco,781,1,1,1,2,2,1,2,2,3,3,1,2,5,2,0,0.0,neutral or dissatisfied
74574,74574,27551,Male,Loyal Customer,47,Personal Travel,Eco,1050,2,1,2,4,3,2,3,3,2,2,4,2,4,3,1,0.0,neutral or dissatisfied
19330,19330,58791,Male,Loyal Customer,12,Business travel,Business,2800,4,4,4,4,4,4,4,4,2,3,3,1,4,4,24,18.0,neutral or dissatisfied
